Age,ShoulderWidth,ChestWidth,Waist,Hips,TotalHeight,Size
30,18,20,14,22,52,M
28,22,17,21,25,56,S
27,18,16,10,15,53,S
29,20,18,19,14,45,S
28,14,18,11,30,47,S
22,19,18,16,18,60,S
18,17,16,12,28,49,S
26,15,19,23,27,58,S
23,16,20,22,18,40,M
31,20,28,91,17,55,L
29,28,17,21,30,50,S
35,21,18,18,27,49,S
29,19,17,20,21,59,S
30,17,18,24,28,47,S
20,21,17,18,19,51,S
27,15,20,20,18,57,M
24,20,16,25,22,60,S
30,18,21,19,21,59,M
35,16,28,17,23,48,L
29,15,18,18,24,42,S
35,18,18,19,19,49,S
29,19,16,20,20,44,S
27,21,16,22,30,45,S
26,22,17,24,19,54,S
24,19,17,16,20,57,S
20,16,18,15,21,60,S
30,17,17,18,23,57,S
35,18,18,17,24,58,S
31,15,20,22,21,45,M
20,14,20,19,30,51,M
24,20,18,18,35,31,S
27,22,16,18,30,30,S
29,20,20,18,21,33,M
27,19,16,19,21,60,S
18,21,16,20,21,45,S
19,22,18,13,20,47,S
20,19,18,11,23,48,S
24,21,19,11,24,40,S
22,16,16,12,28,48,S
24,17,17,13,20,48,S
25,17,17,13,28,60,S
21,17,17,18,20,55,S
25,17,22,18,21,51,M
22,18,22,14,23,52,M
21,20,20,14,19,53,M
19,20,21,14,18,59,M
17,21,20,13,19,50,M
18,16,16,15,18,50,S
25,16,14,16,19,39,S
30,14,15,17,20,57,S
29,19,10,20,19,44,S
28,18,16,21,30,47,S
30,15,16,21,19,57,S
25,21,16,23,18,58,S
30,20,17,20,17,59,S
18,21,18,20,17,51,S
19,18,20,15,17,59,M
28,20,18,11,18,52,S
17,19,14,15,16,60,S
6,9,8,10,10,25,S
8,15,13,15,15,50,S
24,17,11,20,9,60,S
54,18,13,23,16,72,S
16,13,17,19,16,34,S
24,21,15,16,17,38,S
15,15,7,13,15,51,S
4,13,15,15,15,43,S
21,16,16,9,11,50,S
38,17,21,13,16,47,M
49,16,14,14,14,52,S
22,18,21,21,23,59,M
3,7,7,7,10,23,S
12,16,15,20,16,62,S
18,18,18,17,20,38,S
37,19,17,17,22,47,S
21,14,17,19,16,50,S
16,15,13,13,13,56,S
19,18,11,20,14,55,S
32,7,8,7,8,24,S
3,19,10,22,10,60,S
42,15,13,10,16,61,S
2,7,11,7,15,24,S
50,18,7,10,23,38,S
37,19,12,18,14,37,S
20,13,18,21,24,75,S
7,11,15,13,16,40,S
17,10,15,15,17,47,S
24,18,12,22,13,57,S
3,8,7,8,9,23,S
34,18,10,21,10,59,S
24,16,12,11,14,60,S
21,14,9,10,11,53,S
6,18,12,13,11,61,S
31,14,12,13,19,33,S
4,16,12,14,14,51,S
7,19,14,23,16,73,S
54,17,14,14,15,62,S
19,16,8,14,16,52,S
15,16,14,14,14,56,S
24,17,12,22,12,62,S
32,17,18,16,8,40,S
16,8,12,7,10,23,S
2,19,13,16,17,43,S
28,19,20,20,23,38,M
22,13,10,10,12,75,S
8,20,16,14,16,53,S
36,16,11,14,14,53,S
21,16,21,20,17,43,M
32,14,18,20,17,34,S
16,18,18,18,19,46,S
17,12,17,16,18,42,S
18,20,14,17,16,48,S
24,17,22,22,19,47,M
32,19,23,23,20,56,M
42,18,21,22,24,59,M
4,12,14,14,15,42,S
19,18,15,14,17,60,S
20,19,16,15,16,59,S
21,22,20,14,19,62,M
17,17,21,13,11,41,M
16,16,10,10,13,57,S
24,14,9,17,20,49,S
18,19,8,14,19,63,S
37,20,13,18,18,49,S
50,23,18,50,14,44,S
42,10,12,49,17,54,S
40,14,11,36,17,64,S
35,19,16,26,16,69,S
29,18,17,19,13,67,S
55,17,15,60,14,57,S
25,14,11,10,19,68,S
33,16,12,20,13,69,S
39,15,14,21,19,48,S
17,20,10,18,20,58,S
22,19,11,19,21,60,S
25,22,14,20,22,57,S
32,11,19,21,21,48,S
39,10,11,21,19,49,S
49,10,16,10,14,54,S
26,14,13,17,17,47,S
44,16,10,31,16,66,S
25,17,7,29,14,49,S
15,18,9,12,15,54,S
50,19,10,52,36,47,S
42,12,11,40,44,40,S
20,18,17,14,15,55,S
31,19,20,21,22,52,M
19,14,16,9,14,32,S
24,20,21,10,30,35,M
27,16,17,11,18,56,S
29,18,19,12,19,50,S
30,20,18,16,20,45,S
31,18,18,23,18,45,S
28,19,16,24,17,51,S
23,17,18,19,14,48,S
29,20,19,21,18,43,S
35,18,20,18,19,52,M
18,18,21,20,20,39,M
20,22,20,21,21,45,M
35,18,18,18,22,48,S
32,16,20,20,18,31,M
