Age,ShoulderWidth,Waist,Hips,TotalHeight,Size
30,45.72,35.56,55.88,132.08,M
28,55.88,53.34,63.5,142.24,S
27,45.72,25.4,38.1,134.62,S
29,50.8,48.26,35.56,114.3,S
28,35.56,27.94,76.2,119.38,S
22,48.26,40.64,45.72,152.4,S
18,43.18,30.48,71.12,124.46,S
26,38.1,58.42,68.58,147.32,S
23,40.64,55.88,45.72,101.6,M
31,50.8,231.14,43.18,139.7,L
29,71.12,53.34,76.2,127.0,S
35,53.34,45.72,68.58,124.46,S
29,48.26,50.8,53.34,149.86,S
30,43.18,60.96,71.12,119.38,S
20,53.34,45.72,48.26,129.54,S
27,38.1,50.8,45.72,144.78,M
24,50.8,63.5,55.88,152.4,S
30,45.72,48.26,53.34,149.86,M
35,40.64,43.18,58.42,121.92,L
29,38.1,45.72,60.96,106.68,S
35,45.72,48.26,48.26,124.46,S
29,48.26,50.8,50.8,111.76,S
27,53.34,55.88,76.2,114.3,S
26,55.88,60.96,48.26,137.16,S
24,48.26,40.64,50.8,144.78,S
20,40.64,38.1,53.34,152.4,S
30,43.18,45.72,58.42,144.78,S
35,45.72,43.18,60.96,147.32,S
31,38.1,55.88,53.34,114.3,M
20,35.56,48.26,76.2,129.54,M
24,50.8,45.72,88.9,78.74,S
27,55.88,45.72,76.2,76.2,S
29,50.8,45.72,53.34,83.82,M
27,48.26,48.26,53.34,152.4,S
18,53.34,50.8,53.34,114.3,S
19,55.88,33.02,50.8,119.38,S
20,48.26,27.94,58.42,121.92,S
24,53.34,27.94,60.96,101.6,S
22,40.64,30.48,71.12,121.92,S
24,43.18,33.02,50.8,121.92,S
25,43.18,33.02,71.12,152.4,S
21,43.18,45.72,50.8,139.7,S
25,43.18,45.72,53.34,129.54,M
22,45.72,35.56,58.42,132.08,M
21,50.8,35.56,48.26,134.62,M
19,50.8,35.56,45.72,149.86,M
17,53.34,33.02,48.26,127.0,M
18,40.64,38.1,45.72,127.0,S
25,40.64,40.64,48.26,99.06,S
30,35.56,43.18,50.8,144.78,S
29,48.26,50.8,48.26,111.76,S
28,45.72,53.34,76.2,119.38,S
30,38.1,53.34,48.26,144.78,S
25,53.34,58.42,45.72,147.32,S
30,50.8,50.8,43.18,149.86,S
18,53.34,50.8,43.18,129.54,S
19,45.72,38.1,43.18,149.86,M
28,50.8,27.94,45.72,132.08,S
17,48.26,38.1,40.64,152.4,S
6,22.86,25.4,25.4,63.5,S
8,38.1,38.1,38.1,127.0,S
24,43.18,50.8,22.86,152.4,S
54,45.72,58.42,40.64,182.88,S
16,33.02,48.26,40.64,86.36,S
24,53.34,40.64,43.18,96.52,S
15,38.1,33.02,38.1,129.54,S
4,33.02,38.1,38.1,109.22,S
21,40.64,22.86,27.94,127.0,S
38,43.18,33.02,40.64,119.38,M
49,40.64,35.56,35.56,132.08,S
22,45.72,53.34,58.42,149.86,M
3,17.78,17.78,25.4,58.42,S
12,40.64,50.8,40.64,157.48,S
18,45.72,43.18,50.8,96.52,S
37,48.26,43.18,55.88,119.38,S
21,35.56,48.26,40.64,127.0,S
16,38.1,33.02,33.02,142.24,S
19,45.72,50.8,35.56,139.7,S
32,17.78,17.78,20.32,60.96,S
3,48.26,55.88,25.4,152.4,S
42,38.1,25.4,40.64,154.94,S
2,17.78,17.78,38.1,60.96,S
50,45.72,25.4,58.42,96.52,S
37,48.26,45.72,35.56,93.98,S
20,33.02,53.34,60.96,190.5,S
7,27.94,33.02,40.64,101.6,S
17,25.4,38.1,43.18,119.38,S
24,45.72,55.88,33.02,144.78,S
3,20.32,20.32,22.86,58.42,S
34,45.72,53.34,25.4,149.86,S
24,40.64,27.94,35.56,152.4,S
21,35.56,25.4,27.94,134.62,S
6,45.72,33.02,27.94,154.94,S
31,35.56,33.02,48.26,83.82,S
4,40.64,35.56,35.56,129.54,S
7,48.26,58.42,40.64,185.42,S
54,43.18,35.56,38.1,157.48,S
19,40.64,35.56,40.64,132.08,S
15,40.64,35.56,35.56,142.24,S
24,43.18,55.88,30.48,157.48,S
32,43.18,40.64,20.32,101.6,S
16,20.32,17.78,25.4,58.42,S
2,48.26,40.64,43.18,109.22,S
28,48.26,50.8,58.42,96.52,M
22,33.02,25.4,30.48,190.5,S
8,50.8,35.56,40.64,134.62,S
36,40.64,35.56,35.56,134.62,S
21,40.64,50.8,43.18,109.22,M
32,35.56,50.8,43.18,86.36,S
16,45.72,45.72,48.26,116.84,S
17,30.48,40.64,45.72,106.68,S
18,50.8,43.18,40.64,121.92,S
24,43.18,55.88,48.26,119.38,M
32,48.26,58.42,50.8,142.24,M
42,45.72,55.88,60.96,149.86,M
4,30.48,35.56,38.1,106.68,S
19,45.72,35.56,43.18,152.4,S
20,48.26,38.1,40.64,149.86,S
21,55.88,35.56,48.26,157.48,M
17,43.18,33.02,27.94,104.14,M
16,40.64,25.4,33.02,144.78,S
24,35.56,43.18,50.8,124.46,S
18,48.26,35.56,48.26,160.02,S
37,50.8,45.72,45.72,124.46,S
50,58.42,127.0,35.56,111.76,S
42,25.4,124.46,43.18,137.16,S
40,35.56,91.44,43.18,162.56,S
